content_code,event_date,longitude,latitude,color,name,tooltip
LB001,2020-01-18,35.507076299999994,33.8975166,#000000, ,"Vehicle, vehicle-mounted weapon"
LB002,2020-08-08,35.506168,33.8978,#000000, ,"Vehicle, vehicle-mounted weapon"
LB004,2020-01-09,35.507076299999994,33.8975166,#000000, ,"Launcher, munition, 2 x vehicle, vehicle-mounted weapon"
LB005_1,2020-01-15,35.493567999999996,33.879776,#000000, ,Launcher
LB005_2,2020-01-15,35.495532827150434,33.87920543080355,#000000, ,Launcher
LB005_3,2020-01-15,35.497316999999995,33.878763,#000000, ,Vehicle
LB005_4,2020-01-15,35.48917,33.881238,#000000, ,Launcher
LB006,2020-10-08,35.50479,33.898148,#000000, ,"Launcher, munition"
LB008,,35.503259899999996,33.896776700000004,#000000, ,Launcher
LB009,2019-12-15,35.504718,33.898162,#000000, ,Vehicle
LB010,2019-12-15,35.504827,33.898139,#000000, ,Vehicle
LB011,2019-12-15,35.504763,33.892593,#000000, ,Launcher
LB012,2019-12-15,35.5086029,33.8975871,#000000, ,"Vehicle, vehicle-mounted weapon"
LB013_1,2019-12-14,35.507131,33.897464,#000000, ,Launcher
LB013_2,2019-12-14,35.506301,33.897744,#000000, ,Launcher
LB013_3,2019-12-14,35.507318,33.897443,#000000, ,"Vehicle, vehicle-mounted weapon"
LB015,2020-01-16,35.48755379999999,33.8952781,#000000, ,Vehicle
LB016,2019-12-15,35.504718,33.898162,#000000, ,Vehicle
LB017,2019-12-14,35.507195,33.897529999999996,#000000, ,"Launcher, vehicle, vehicle-mounted weapon"
LB018,2019-12-15,35.507153,33.897513000000004,#000000, ,"Launcher, vehicle, vehicle-mounted weapon"
LB019,2020-01-18,35.502117,33.896192,#000000, ,"2 x launcher, 3 x vehicle, vehicle-mounted weapon"
LB020,2020-01-18,35.504665700000004,33.89811470000001,#000000, ,"2 x vehicle, vehicle-mounted weapon"
LB021,2020-01-17,35.48867,33.895275,#000000, ,Vehicle
LB022,2020-01-09,35.505545,33.897933200000004,#000000, ,Launcher
LB024,,35.507346999999996,33.894697,#000000, ,"Launcher, 2 x vehicle, vehicle-mounted weapon"
LB026,2020-01-18,35.502117,33.896192,#000000, ,Vehicle-mounted weapon
LB027,2020-01-18,35.502117,33.896192,#000000, ,Vehicle-mounted weapon
LB028,2020-01-18,35.502117,33.896192,#000000, ,"2 x vehicle, vehicle-mounted weapon"
LB036,2020-01-18,35.505778,33.897775,#000000, ,"Launcher, 2 x vehicle, vehicle-mounted weapon"
LB037,2020-08-08,35.5055639,33.8979081,#000000, ,"Launcher, 2 x munition"
LB039,2020-08-08,35.506267,33.895216,#000000, ,Launcher
LB040,2020-08-08,35.5059128,33.8974191,#000000, ,"Vehicle, vehicle-mounted weapon"
LB046,2019-12-15,35.503619,33.895967,#000000, ,"2 x launcher, vehicle"
LB047_1,2020-01-18,35.506671999999995,33.894921999999994,#000000, ,Munition
LB047_2,2020-01-18,35.508294,33.898140999999995,#000000, ,"Launcher, munition, 3 x vehicle, vehicle-mounted weapon"
LB048,2020-01-18,35.507239,33.896314000000004,#000000, ,"Vehicle, vehicle-mounted weapon"
LB049,2020-01-14,35.484978000000005,33.895193,#000000, ,"Munition, vehicle, vehicle-mounted weapon"
LB052,2020-01-18,35.504408000000005,33.896514,#000000, ,"Launcher, 4 x vehicle, 2 x vehicle-mounted weapon"
LB053,,35.5811076,33.9121129,#000000, ,Vehicle
LB054,2020-08-08,35.506267,33.895216,#000000, ,2 x munition
LB055,2020-01-18,35.5067739,33.8976027,#000000, ,Launcher
LB056,2019-12-15,35.504665700000004,33.89811470000001,#000000, ,Vehicle
LB059,2020-01-18,35.5070133,33.8975531,#000000, ,Launcher
LB060,2020-01-14,35.48328370000001,33.895622700000004,#000000, ,"Vehicle, vehicle-mounted weapon"
LB061,2019-10-29,35.503792264902245,33.893870919353716,#000000, ,Launcher
LB062,2019-10-26,35.829765,34.42087,#000000, ,Vehicle
LB063,2020-01-19,35.504827,33.898139,#000000, ,Munition
LB064,2020-01-14,35.487700399999994,33.895275899999994,#000000, ,Launcher
LB065,,35.502581,33.895377,#000000, ,Vehicle
LB067,2020-08-08,35.5059128,33.8974191,#000000, ,"Launcher, 2 x munition, 2 x vehicle, 2 x vehicle-mounted weapon"
LB069,2020-01-18,35.5067739,33.8976027,#000000, ,"Launcher, vehicle-mounted weapon"
LB070,2020-01-18,35.504756,33.898056,#000000, ,Vehicle
LB072,,35.502925,33.895365999999996,#000000, ,Vehicle
LB073,,35.502287,33.89523,#000000, ,2 x vehicle
LB074,2019-10-26,35.505562,33.8924572,#000000, ,Vehicle
LB075,2019-10-26,35.50407020000001,33.8927246,#000000, ,Vehicle
LB077,2015-08-23,35.503106,33.896888,#000000, ,Launcher
LB078,2020-08-08,35.506267,33.895216,#000000, ,"4 x vehicle, vehicle-mounted weapon"
LB080,,35.50696,33.896483,#000000, ,Munition
LB081,2015-08-23,35.503106,33.896888,#000000, ,Launcher
LB084,,35.50696,33.896483,#000000, ,Launcher
LB085,2015-08-23,35.501978,33.895249,#000000, ,Launcher
LB086,2019-12-15,35.506370399999994,33.8977376,#000000, ,Vehicle-mounted weapon
LB087,2015-08-23,35.5028549,33.8950125,#000000, ,Launcher
LB089,2015-08-23,35.50269,33.895329,#000000, ,Vehicle
LB090,2020-08-08,35.5064292,33.8976582,#000000, ,Vehicle
LB091,2020-08-08,35.5064292,33.8976582,#000000, ,"Launcher, munition, vehicle, vehicle-mounted weapon"
LB092,2020-08-08,35.5064292,33.8976582,#000000, ,"Launcher, vehicle"
LB094,2019-12-14,35.5074669,33.897460200000005,#000000, ,"Vehicle, vehicle-mounted weapon"
LB095,2019-12-14,35.5044301,33.8926206,#000000, ,Launcher
LB097,2019-12-14,35.50733029999999,33.8975339,#000000, ,Vehicle
LB100,2020-01-18,35.5067739,33.8976027,#000000, ,"Launcher, vehicle, vehicle-mounted weapon"
LB101,2020-01-18,35.5067739,33.8976027,#000000, ,"Launcher, vehicle, vehicle-mounted weapon"
LB102,2020-08-08,35.5060972,33.89783189999999,#000000, ,"Launcher, vehicle, vehicle-mounted weapon"
LB104,2020-01-19,35.5048385,33.898074900000005,#000000, ,Munition
LB106,2020-01-22,35.5097186,33.8977652,#000000, ,"Vehicle, vehicle-mounted weapon"
LB107,2019-12-14,35.504394700000006,33.89263,#000000, ,"Launcher, 2 x munition"
LB124,2019-12-14,35.5070679,33.8966243,#000000, ,"2 x vehicle, vehicle-mounted weapon"
